mac_address,eventtype,epocutc,zone,rssi,techtype
69cddf981c212bc8f0b281a550b55bb1e97287c83e0c7fdfbe6baea0,status,24-08-23 23:36,bz2453,-79,2
67ada893086133e14f6fe95e35939dbdaee78694479767d1f54cf305,status,24-08-23 23:38,bz2453,-83,2
cd0468184aa72d78cf2080de3994f42062278d4c6c9d38cc170e0587,status,24-08-23 23:39,bz2453,-81,2
229de3e936403911dee167a31a6bccf73e4bd25468ccb759263d46cc,status,24-08-23 23:40,bz2453,-85,2
739a7d5c649e5cec032b07520128d64adf80c3dd98313af544649560,status,24-08-23 23:40,bz2453,-79,2
add75d8de6aec463ce8600f0328a6a7bd23e25192046d9445dc87262,status,24-08-23 23:42,bz2453,-85,2
6bcd30d9cc509cabd209489b9ae2dd06d606e476d296fa8aea70ec56,status,24-08-23 23:42,bz2453,-71,2
72948bcfe5264552bc4166376c90a9beb3fda7fc1800b884a1a70669,status,24-08-23 23:42,bz2453,-63,2
de573725b1d871b50d42a7e5cfad0c30c02ee757d7dbe2e2cfd019f5,status,24-08-23 23:42,bz2453,-77,2
0a27820b9fad79d4656653a5056617520c323d6cf4d93b71f5260e1d,status,24-08-23 23:42,bz2453,-65,2
3d97fb4ca01b1d953c2f250c9a827665cb1c3d27de91b16090c5fba2,status,24-08-23 23:42,bz2453,-65,2
26cd211540c5c754f5f331c09e411f960d714d45841778953f780bc3,status,24-08-23 23:43,bz2453,-89,2
8c80355302a6452efd33411e39bb178520862956f88c7b1a1f1e80a8,status,24-08-23 23:48,bz2453,-61,2
